NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
124     | 25       | 0.9       | 0.0492    | 0.9418    | 0.9152    | 
125     | 28       | 0.9       | 0.0487    | 0.9418    | 0.9152    | 
126     | 21       | 0.9       | 0.0488    | 0.9418    | 0.9152    | 
127     | 25       | 0.9       | 0.0491    | 0.9418    | 0.9152    | 
128     | 15       | 0.9       | 0.0477    | 0.9418    | 0.9152    | 
129     | 28       | 0.9       | 0.0482    | 0.9418    | 0.9152    | 
130     | 25       | 0.9       | 0.0469    | 0.9418    | 0.9152    | 
131     | 24       | 0.9       | 0.0474    | 0.9418    | 0.9152    | 
132     | 9        | 1.6616    | 0.0471    | 0.9412    | 0.9153    | 
133     | 28       | 0.9       | 0.0471    | 0.9412    | 0.9153    | 
134     | 25       | 0.9       | 0.0471    | 0.9412    | 0.9153    | 
135     | 20       | 5.897     | 0.0466    | 0.9412    | 0.9153    | 
136     | 28       | 0.9       | 0.0452    | 0.9412    | 0.9153    | 
137     | 25       | 0.9       | 0.0452    | 0.9412    | 0.9153    | 
138     | 24       | 0.9       | 0.0456    | 0.9412    | 0.9153    | 
139     | 25       | 0.9       | 0.045     | 0.9412    | 0.9153    | 
140     | 20       | 5.897     | 0.0447    | 0.9412    | 0.9153    | 
141     | 28       | 0.9       | 0.0444    | 0.9412    | 0.9153    | 
142     | 25       | 0.9       | 0.0433    | 0.9412    | 0.9153    | 
143     | 20       | 5.897     | 0.0428    | 0.9412    | 0.9153    | 
144     | 14       | 0.9       | 0.0428    | 0.9412    | 0.9153    | 
145     | 28       | 0.9       | 0.0434    | 0.9412    | 0.9153    | 
146     | 24       | 0.9       | 0.0437    | 0.9412    | 0.9153    | 
147     | 25       | 0.9       | 0.0434    | 0.9412    | 0.9153    | 
148     | 28       | 0.9       | 0.0425    | 0.9412    | 0.9153    | 
149     | 20       | 4.9141    | 0.0425    | 0.9412    | 0.9153    | 
150     | 25       | 0.9       | 0.042     | 0.9412    | 0.9153    | 
151     | 28       | 0.9       | 0.0415    | 0.9412    | 0.9153    | 
152     | 6        | 3.7568    | 0.0413    | 0.9412    | 0.9153    | 
153     | 21       | 0.9       | 0.0415    | 0.9412    | 0.9153    | 
154     | 25       | 0.9       | 0.042     | 0.9412    | 0.9153    | 
155     | 28       | 0.9       | 0.0408    | 0.9412    | 0.9153    | 
156     | 25       | 0.9       | 0.0404    | 0.9412    | 0.9153    | 
157     | 24       | 0.9       | 0.0415    | 0.9412    | 0.9157    | 
158     | 25       | 0.9       | 0.0403    | 0.9412    | 0.9157    | 
