NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.6998)
2. ERR@10 (result: 0.6971) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 7 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_listnet/model2_listnet.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	ListNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] ListNet's Parameters:
No. of epochs: 1500
Learning rate: 1.0E-5

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | C.E. Loss      | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------
463     | 0.0            | 0.6864    | 0.6446    | 
464     | 0.0            | 0.6863    | 0.6446    | 
465     | 0.0            | 0.6863    | 0.644     | 
466     | 0.0            | 0.6863    | 0.644     | 
467     | 0.0            | 0.6862    | 0.6441    | 
468     | 0.0            | 0.6867    | 0.6441    | 
469     | 0.0            | 0.6873    | 0.6442    | 
470     | 0.0            | 0.6873    | 0.6442    | 
471     | 0.0            | 0.6878    | 0.6442    | 
472     | 0.0            | 0.6874    | 0.6441    | 
473     | 0.0            | 0.6874    | 0.6441    | 
474     | 0.0            | 0.6874    | 0.6441    | 
475     | 0.0            | 0.6874    | 0.6432    | 
476     | 0.0            | 0.6876    | 0.6432    | 
477     | 0.0            | 0.6876    | 0.6413    | 
478     | 0.0            | 0.6861    | 0.6413    | 
479     | 0.0            | 0.6861    | 0.6413    | 
480     | 0.0            | 0.6862    | 0.6411    | 
481     | 0.0            | 0.6863    | 0.6411    | 
482     | 0.0            | 0.6877    | 0.6424    | 
483     | 0.0            | 0.6877    | 0.6424    | 
484     | 0.0            | 0.6877    | 0.6424    | 
485     | 0.0            | 0.6877    | 0.6424    | 
486     | 0.0            | 0.6877    | 0.6426    | 
487     | 0.0            | 0.6875    | 0.6425    | 
488     | 0.0            | 0.6877    | 0.6426    | 
489     | 0.0            | 0.6874    | 0.6432    | 
490     | 0.0            | 0.6866    | 0.6432    | 
491     | 0.0            | 0.6869    | 0.6432    | 
492     | 0.0            | 0.6869    | 0.6431    | 
