java -jar RankLib-2.14.jar -train ../data/experiment/unigram_pos_train.txt -test ../data/experiment/unigram_pos_test.txt -validate ../data/experiment/unigram_pos_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_unigram_pos.txt

Discard orig. features
Training data:	../data/experiment/unigram_pos_train.txt
Test data:	../data/experiment/unigram_pos_test.txt
Validation data:	../data/experiment/unigram_pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_unigram_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/unigram_pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/unigram_pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/unigram_pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
257     | 0.657     | 0.5893    | 
258     | 0.6572    | 0.5912    | 
259     | 0.6575    | 0.5912    | 
260     | 0.6578    | 0.5913    | 
261     | 0.6568    | 0.5911    | 
262     | 0.6571    | 0.5912    | 
263     | 0.6576    | 0.591     | 
264     | 0.6592    | 0.5902    | 
265     | 0.6584    | 0.5932    | 
266     | 0.6589    | 0.5928    | 
267     | 0.6591    | 0.5917    | 
268     | 0.6591    | 0.593     | 
269     | 0.6591    | 0.5927    | 
270     | 0.6589    | 0.5948    | 
271     | 0.6591    | 0.5944    | 
272     | 0.6593    | 0.5958    | 
273     | 0.6592    | 0.5962    | 
274     | 0.6598    | 0.5962    | 
275     | 0.66      | 0.5962    | 
276     | 0.6596    | 0.5964    | 
277     | 0.6602    | 0.5961    | 
278     | 0.6607    | 0.5962    | 
279     | 0.6607    | 0.598     | 
280     | 0.6608    | 0.5981    | 
281     | 0.6604    | 0.5981    | 
282     | 0.6609    | 0.5975    | 
283     | 0.6609    | 0.5975    | 
284     | 0.661     | 0.5963    | 
285     | 0.6612    | 0.5959    | 
286     | 0.6618    | 0.5966    | 
287     | 0.6618    | 0.5969    | 
288     | 0.6623    | 0.5972    | 
289     | 0.6623    | 0.5968    | 
290     | 0.6634    | 0.5971    | 
291     | 0.6637    | 0.597     | 
292     | 0.6638    | 0.5966    | 
293     | 0.6636    | 0.5948    | 
294     | 0.6637    | 0.5951    | 
295     | 0.6641    | 0.5953    | 
296     | 0.6646    | 0.5963    | 
297     | 0.6644    | 0.5962    | 
298     | 0.6645    | 0.5963    | 
299     | 0.6645    | 0.5961    | 
300     | 0.6646    | 0.5964    | 
301     | 0.6647    | 0.5966    | 
302     | 0.6646    | 0.5958    | 
303     | 0.6654    | 0.5965    | 
304     | 0.6653    | 0.5965    | 
305     | 0.6656    | 0.5986    | 
306     | 0.6652    | 0.5979    | 
307     | 0.6653    | 0.5975    | 
308     | 0.6652    | 0.5974    | 
309     | 0.6657    | 0.5973    | 
310     | 0.6659    | 0.5973    | 
311     | 0.6657    | 0.5972    | 
312     | 0.6653    | 0.597     | 
313     | 0.665     | 0.597     | 
314     | 0.665     | 0.5975    | 
315     | 0.6648    | 0.5975    | 
316     | 0.6653    | 0.597     | 
317     | 0.6658    | 0.5969    | 
318     | 0.666     | 0.5969    | 
319     | 0.6663    | 0.5971    | 
320     | 0.6668    | 0.5974    | 
321     | 0.6669    | 0.5976    | 
322     | 0.6663    | 0.5969    | 
323     | 0.6663    | 0.5963    | 
324     | 0.6657    | 0.5964    | 
325     | 0.665     | 0.5964    | 
326     | 0.6657    | 0.5964    | 
327     | 0.6662    | 0.597     | 
328     | 0.6669    | 0.5974    | 
329     | 0.6693    | 0.5976    | 
330     | 0.6704    | 0.5981    | 
331     | 0.6697    | 0.5993    | 
332     | 0.6698    | 0.5993    | 
333     | 0.6697    | 0.6005    | 
334     | 0.6701    | 0.6       | 
335     | 0.6701    | 0.6001    | 
336     | 0.6707    | 0.6001    | 
337     | 0.671     | 0.6       | 
338     | 0.6716    | 0.5995    | 
339     | 0.6714    | 0.5993    | 
340     | 0.6711    | 0.5993    | 
341     | 0.6714    | 0.6007    | 
342     | 0.672     | 0.6007    | 
343     | 0.6701    | 0.5999    | 
344     | 0.67      | 0.6       | 
345     | 0.6701    | 0.6001    | 
346     | 0.6705    | 0.6       | 
347     | 0.6703    | 0.6003    | 
348     | 0.6705    | 0.601     | 
349     | 0.6714    | 0.6003    | 
350     | 0.6709    | 0.5978    | 
351     | 0.6709    | 0.5973    | 
352     | 0.6705    | 0.5981    | 
353     | 0.671     | 0.5978    | 
354     | 0.6717    | 0.5977    | 
355     | 0.6716    | 0.5978    | 
356     | 0.6713    | 0.598     | 
357     | 0.6707    | 0.5977    | 
358     | 0.6715    | 0.5997    | 
359     | 0.6714    | 0.6008    | 
360     | 0.6708    | 0.6014    | 
361     | 0.672     | 0.5997    | 
362     | 0.6723    | 0.5993    | 
363     | 0.6723    | 0.599     | 
364     | 0.6725    | 0.5986    | 
365     | 0.6728    | 0.5987    | 
366     | 0.6735    | 0.6       | 
367     | 0.6752    | 0.6003    | 
368     | 0.6755    | 0.6005    | 
369     | 0.6761    | 0.599     | 
370     | 0.6758    | 0.5995    | 
371     | 0.6757    | 0.5997    | 
372     | 0.6759    | 0.6003    | 
373     | 0.676     | 0.6005    | 
374     | 0.6764    | 0.6       | 
375     | 0.6766    | 0.6001    | 
376     | 0.6764    | 0.5997    | 
377     | 0.677     | 0.5996    | 
378     | 0.677     | 0.5999    | 
379     | 0.677     | 0.599     | 
380     | 0.6773    | 0.6002    | 
381     | 0.6788    | 0.6004    | 
382     | 0.679     | 0.6006    | 
383     | 0.6791    | 0.6011    | 
384     | 0.6798    | 0.6006    | 
385     | 0.6804    | 0.6001    | 
386     | 0.6801    | 0.6001    | 
387     | 0.6803    | 0.6003    | 
388     | 0.6806    | 0.602     | 
389     | 0.6808    | 0.6003    | 
390     | 0.68      | 0.6001    | 
391     | 0.6802    | 0.6012    | 
392     | 0.6801    | 0.6012    | 
393     | 0.6803    | 0.6013    | 
